	category	country	country_short	lang	lang_short	name	region	subject	text	type	url	lat_lon
83	National	Hungary	HU	Hungarian	hu	mfor-hu	European Union	General News	mfor.hu - Menedzsment Fórum	webnews	https://mfor.hu/	(47.1817585, 19.5060937)
84	International	USA	US	English	en	al-monitor	North America	General News	Al-Monitor: The Pulse of the Middle East	webnews	https://www.al-monitor.com/pulse/home.html	(39.7837304, -100.4458825)
85	National	Austria	AT	English	en	climate-kic	European Union	General News	climate-kic	webnews	https://www.climate-kic.org/news-insights/	(47.2000338, 13.199959)
86	National	Vietnam	VN	Vietnamese	vi	24h-com	Asia	General News	24h-com -  Vietnam	webnews	https://www.24h.com.vn/	(10.8753844, 106.7993009)
87	Regional	Spain	ES	Spanish	es	elvenezolanonews	European Union	General News	Diario El Venezolano	webnews	http://elvenezolanonews.com/	(39.3262345, -4.8380649)
88	National	Latvia	LV	English	en	liepu	European Union	General News	Latviešu valodas aģentūra	webnews	https://www.liepu.lv/lv	(56.8406494, 24.7537645)
89	National	Ukraine	UA	Russian	ru	marsovet-ru	Europe Other	General News	Мариупольский городской совет	webnews	http://marsovet.org.ua/	(47.12869795, 37.586507028054406)
90	National	Georgia	GE	Georgian	ka	primetime	Asia	General News	primetime	webnews	http://primetime.ge/	(41.6809707, 44.0287382)
91	National	Romania	RO	Romanian	ro	jandarmeriaromana	European Union	General News	Jandarmeria Romana	webnews	http://www.jandarmeriaromana.ro/	(44.50828575, 26.06690371770603)
92	National	Netherlands	NL	Dutch	nl	refdag	European Union	General News	Reformatorisch Dagblad	webnews	https://www.rd.nl/	(52.5001698, 5.7480821)
93	National	USA	US	English	en	thegardenisland	North America	General News	Huelva24	webnews	http://thegardenisland.com/	(39.7837304, -100.4458825)
94	National	Greece	GR	Modern Greek (1453-)	el	ecozen	European Union	General News	ecozen	webnews	https://ecozen.gr/	(38.9953683, 21.9877132)
95	National	Palestine, State of	PS	Arabic	ar	amin	Middle East	General News	AMIN - Arabic Media Internet Network	webnews	http://www.amin.org/	(31.94696655, 35.27386547291496)
96	National	United Kingdom	GB	English	en	nature-nrmicro	Europe Other	General News	Nature - Reviews Microbiology	webnews	https://www.nature.com/nrmicro/	(54.7023545, -3.2765753)
97	National	Germany	DE	English	en	boell-en	European Union	General News	migration NGO3 - Heinrich Böll Foundation	webnews	https://www.boell.de/en	(51.0834196, 10.4234469)
98	National	Nepal	NP	English	en	kathmandupost	Asia	General News	Kathmandu Post	webnews	http://kathmandupost.ekantipur.com/	(27.708317, 85.3205817)
99	National	Luxemburg	LU	French	fr	paperjam	European Union	General News	paperJam	webnews	https://paperjam.lu/	(49.8158683, 6.1296751)
