category	country	country_short	lang	lang_short	name	region	subject	text	type	url
National	Croatia	HR	Croatian	hr	mreza	European Union	General News	mreza	webnews	https://mreza.bug.hr/
National	Barbados	BB	English	en	gisbarbados	Central America	General News	BGIS Media	webnews	http://gisbarbados.gov.bb/
National	Ukraine	UA	English	en	kyivpost	Europe Other	General News	Kyiv Post	webnews	http://www.kyivpost.com/
International	Ukraine	UA	Russian	ru	vvnews	Europe Other	General News	vvnews	webnews	http://vvnews.info/
National	United Kingdom	GB	English	en	europeanbusinessreview	Europe Other	General News	European Business Review	webnews	https://www.europeanbusinessreview.eu/
National	Finland	FI	Finnish	fi	verkkouutiset	European Union	General News	verkkouutiset	webnews	https://www.verkkouutiset.fi/
National	United Kingdom	GB	English	en	nature-hr	Europe Other	General News	Nature - Hypertension Research	webnews	https://www.nature.com/hr/
Regional	Croatia	HR	Croatian	hr	dubrovniknet	European Union	General News	Naslovna - DubrovnikNet	webnews	https://www.dubrovniknet.hr/
National	Moldova	MD	Romanian	ro	moldova-suverana	Europe Other	General News	Moldova Suverana	webnews	http://moldova-suverana.md/
National	Bulgaria	BG	English	en	bds-bg	European Union	General News	BDS - Bulgarian Institute for Standardisation	webnews	http://www.bds-bg.org/en
National	Spain	ES	Spanish	es	radiohuesca	European Union	General News	radiohuesca	webnews	https://www.radiohuesca.com/
National	Vietnam	VN	Lao	lo	vnanet-lo	Asia	General News	Vietnam Pictorial (lao)	webnews	http://vietnam.vnanet.vn/lao/
National	Brazil	BR	Portuguese	pt	orm	South America	General News	orm	webnews	http://www.orm.com.br/
National	United Kingdom	GB	English	en	nature-gt	Europe Other	General News	Nature - Gene Therapy	webnews	https://www.nature.com/gt/
International	Germany	DE	English	en	helmholtz	European Union	General News	helmholtz	webnews	https://www.helmholtz.de/en/
National	Russia	RU	Russian	ru	vesti	Asia	General News	vesti	webnews	http://www.vesti.ru/
National	West Sahara	EH	French	fr	spsrasd-fr	Africa	General News	Sahara Press Service (French)	webnews	http://www.spsrasd.info/news/fr
National	Cuba	CU	Spanish	es	eleconomista	Central America	General News	El Economista de Cuba	webnews	http://www.eleconomista.cubaweb.cu/
National	Syria	SY	Turkish	tr	Sana-tr	Middle East	General News	SANA - Syrian Arab News Agency (Turkish)	webnews	http://www.sana.sy/tr/
National	United Kingdom	GB	English	en	seatrade-global	Europe Other	General News	Seatrade Global	webnews	http://www.seatrade-global.com/
National	Denmark	DK	Danish	da	ugebrev	European Union	General News	Økonomisk Ugebrev	webnews	https://ugebrev.dk/
National	Namibia	NA	English	en	namibiansun	Africa	General News	Namibia Sun	webnews	https://www.namibiansun.com/
National	Georgia	GE	Georgian	ka	radiotavisupleba	Asia	General News	radiotavisupleba	webnews	https://www.radiotavisupleba.ge/
International	Singapore	SG	English	en	culture360-asef	Asia	General News	ASEF culture360 | Connecting Asia & Europe through arts and culture	webnews	https://culture360.asef.org/
National	Greece	GR	Modern Greek (1453-)	el	mopocp	European Union	General News	mopocp	webnews	http://www.mopocp.gov.gr/main.php?lang=GR
Local	Romania	RO	Romanian	ro	monitorulsv	European Union	General News	Ştiri Monitorul de Suceava	webnews	http://www.monitorulsv.ro/
National	Germany	DE	German	de	kas-de	European Union	General News	migration NGO - Migration & Integration	webnews	https://www.kas.de/de/web/migration-integration
National	Saudi Arabia	SA	Arabic	ar	alyaum	Middle East	General News	alyaum	webnews	https://www.alyaum.com/
National	United Kingdom	GB	English	en	nature-npjscilearn	Europe Other	General News	Nature - npj Science of Learning	webnews	https://www.nature.com/npjscilearn/
National	West Sahara	EH	Spanish	es	spsrasd-es	Africa	General News	Sahara Press Service (Spanish)	webnews	http://www.spsrasd.info/news/es
National	USA	US	English	en	semanticscholar	North America	General News	Semantic Scholar	webnews	https://www.semanticscholar.org/
National	West Sahara	EH	English	en	spsrasd-en	Africa	General News	Sahara Press Service (English)	webnews	http://www.spsrasd.info/news/en
National	Poland	PL	Polish	pl	wysokieobcasy	European Union	General News	Wysokie Obcasy	webnews	https://www.wysokieobcasy.pl/wysokie-obcasy/0,0.html
National	Brazil	BR	Portuguese	pt	uol-com	South America	General News	UOL - O melhor conteúdo	webnews	https://www.uol.com.br/
National	Mauritania	MR	French	fr	lecalame	Africa	General News	Le Calame - Mauritanie	webnews	http://www.lecalame.info/
National	Ukraine	UA	Russian	ru	rbc-ua	Europe Other	General News	utro	webnews	https://www.rbc.ua/
National	Slovenia	SI	Slovenian	sl	avto-magazin	European Union	General News	Avto-magazin	webnews	http://www.avto-magazin.si/
National	Vietnam	VN	Japanese	ja	vnanet-ja	Asia	General News	Vietnam Pictorial (japan)	webnews	http://vietnam.vnanet.vn/japanese/
International	Venezuela	VE	Spanish	es	mppre	South America	General News	Ministerio del Poder Popular para Relaciones Exteriores	webnews	http://mppre.gob.ve/
Regional	Netherlands	NL	Dutch	nl	computable	European Union	General News	computable	webnews	https://www.computable.nl/
National	Canada	CA	English	en	opg	North America	General News	OPG	webnews	http://www.opg.com/Pages/home.aspx
National	Sweden	SE	Swedish	sv	duochjobbet	European Union	General News	duochjobbet	webnews	http://www.duochjobbet.se/
Local	Italy	IT	Italian	it	secoloditalia	European Union	General News	Secolo d'Italia	webnews	http://www.secoloditalia.it/
National	United Kingdom	GB	English	en	parliament	Europe Other	General News	parliament UK	webnews	https://www.parliament.uk/
Local	Italy	IT	Italian	it	nuovabrianza	European Union	General News	Nuova Brianza	webnews	http://nuovabrianza.it/
National	Canada	CA	English	en	ualberta	North America	General News	University of Alberta	webnews	https://www.ualberta.ca/
International	France	FR	French	fr	lagauchematuer	European Union	General News	lagauchematuer	webnews	http://lagauchematuer.fr/
National	Norway	NO	Norwegian	no	nettavisen	Europe Other	General News	Siste saker fra TV 2 Nettavisen	webnews	http://www.nettavisen.no/
National	Poland	PL	Polish	pl	Evertiq-pl	European Union	General News	Evertiq - Polish	webnews	http://evertiq.pl/news/19546
National	Algeria	DZ	Arabic	ar	eddirasa	Africa	General News	eddirasa	webnews	https://eddirasa.com/
National	France	FR	French	fr	la-croix	European Union	General News	la-Croix	webnews	https://www.la-croix.com/
National	USA	US	English	en	as-coa	North America	General News	Americas Society/Council of the Americas	webnews	http://www.as-coa.org/
National	Greece	GR	Modern Greek (1453-)	el	kozan	European Union	General News	kozan	webnews	http://kozan.gr/
National	France	FR	French	fr	lesinformationsdieppoises	European Union	General News	Les Informations Dieppoises	webnews	https://actu.fr/les-informations-dieppoises/
National	United Kingdom	GB	English	en	theenergyst	Europe Other	General News	The Energyst	webnews	https://theenergyst.com/
National	Sweden	SE	Russian	ru	ruletka	European Union	General News	ruletka	webnews	http://ruletka.se/
National	Cambodia	KH	Central Khmer	km	freshnews	Asia	General News	Freshnews	webnews	http://www.freshnewsasia.com/index.php/en/
National	United Kingdom	GB	English	en	nature-cr	Europe Other	General News	Nature - Cell Research	webnews	https://www.nature.com/cr/
National	USA	US	English	en	one	North America	General News	migration NGO - ONE	webnews	https://www.one.org/international/
National	USA	US	English	en	ideas-ted-com	North America	General News	ideas ted com	webnews	https://ideas.ted.com/category/tech/
National	USA	US	English	en	shipandbunker	North America	General News	Ship & Bunker	webnews	http://shipandbunker.com/
Local	Italy	IT	Italian	it	fermonotizie	European Union	General News	Fermo Notizie	webnews	http://www.fermonotizie.info/
International	Domenican Republic	DO	Spanish	es	HoyDigital-DO	Central America	General News	HoyDigital - diario en la Republica Dominicana	webnews	http://www.hoy.com.do/
National	Niger	NE	French	fr	alternativeniger	Africa	General News	Alternative Espaces Citoyens Niger	webnews	http://www.alternativeniger.net/
National	Angola	AO	English	en	impacttransform	Africa	General News	impacttransform	webnews	https://impacttransform.org/en
National	Sweden	SE	Swedish	sv	jaktjournalen	European Union	General News	jaktjournalen	webnews	http://www.jaktjournalen.se/
National	Albania	AL	Albanian	sq	lajmi	EU Candidate	General News	Lajmi	webnews	http://lajmi.net/
National	Finland	FI	English	en	yle-en	European Union	General News	YLE (English)	webnews	http://www.yle.fi/
National	Congo, The Democratic Republic of the	CD	French	fr	topcongo-fm	Africa	General News	Top Congo FM - Actualités en direct et informations en continu en RDC	webnews	https://www.topcongo.fm/
National	Vietnam	VN	French	fr	vnanet-fr	Asia	General News	Vietnam Pictorial (french)	webnews	http://vietnam.vnanet.vn/french/
National	United Kingdom	GB	English	en	thespectator	Europe Other	General News	The Spectator	webnews	http://www.spectator.co.uk/
National	Central African Republic	CF	English	en	kimberleyprocess	Africa	General News	kimberleyprocess	webnews	https://www.kimberleyprocess.com/
National	USA	US	English	en	policyoptions	North America	General News	Policy Options	webnews	http://policyoptions.irpp.org/
National	Argentina	AR	Spanish	es	ole	South America	General News	Olé	webnews	http://www.ole.com.ar/
National	United Kingdom	GB	English	en	nature-am	Europe Other	General News	Nature - Asia Materials	webnews	https://www.nature.com/am
National	USA	US	English	en	venturesafrica	North America	General News	Ventures Africa	webnews	http://venturesafrica.com
National	Vietnam	VN	Spanish	es	vnanet-es	Asia	General News	Vietnam Pictorial (spanish)	webnews	http://vietnam.vnanet.vn/spanish/
International	Switzerland	CH	English	en	hdcentre	Europe Other	General News	migration NGO3 - HD Centre	webnews	https://www.hdcentre.org/
National	Vietnam	VN	English	en	vnanet-en	Asia	General News	Vietnam Pictorial (english)	webnews	http://vietnam.vnanet.vn/english/
National	Azerbaijan	AZ	English	en	azernews	Asia	General News	Azernews	webnews	http://www.azernews.az/
National	Switzerland	CH	English	en	swissinfo	Europe Other	General News	Swiss news and information platform about Switzerland	webnews	https://www.swissinfo.ch/eng
National	Germany	DE	German	de	thueringen	European Union	General News	Polizei Thüringen	webnews	https://thueringen.de/
National	Spain	ES	Spanish	es	gacetamedica	European Union	General News	Gaceta Medica	webnews	http://www.gacetamedica.com/
National	Mexico	MX	Spanish	es	sipse	North America	General News	Sipse	webnews	https://sipse.com/
Regional	Italy	IT	Italian	it	ilgiornaledelmolise	European Union	General News	Il giornale del Molise	webnews	http://www.ilgiornaledelmolise.it/
National	Slovenia	SI	Slovenian	sl	demokracija	European Union	General News	Tednik Demokracija	webnews	http://www.demokracija.si/
National	Germany	DE	English	en	sunwindenergy	European Union	General News	sunwindenergy	webnews	http://www.sunwindenergy.com/sectors
National	Sweden	SE	Swedish	sv	nyteknik	European Union	General News	Ny Teknik	webnews	http://www.nyteknik.se
National	Sweden	SE	Swedish	sv	datainspektionen	European Union	General News	Datainspektionen	webnews	http://www.datainspektionen.se/
National	Spain	ES	Spanish	es	Expansion	European Union	General News	Diario Expansión	webnews	https://www.expansion.com/
National	Bolivia	BO	Spanish	es	radiofides	South America	General News	Radio Fides	webnews	http://radiofides.com/es/
National	Canada	CA	English	en	concordia	North America	General News	concordia	webnews	http://www.concordia.ca/
National	Canada	CA	French	fr	uquebec	North America	General News	Réseau de l'Université du Québec	webnews	http://www.uquebec.ca/reseau/fr
International	Peru	PE	Spanish	es	ojo	South America	General News	Nuevo ojo	webnews	http://ojo.pe/
National	Sweden	SE	English	en	sipri	European Union	General News	sipri	webnews	http://www.sipri.org/
National	Argentina	AR	Spanish	es	tn-ar	South America	General News	Todo Noticias	webnews	http://tn.com.ar/
National	Algeria	DZ	French	fr	aps-dz	Africa	General News	APS : Algérie Presse Service	webnews	http://www.aps.dz/
National	Colombia	CO	Spanish	es	dinero	South America	General News	Dinero	webnews	http://www.dinero.com/
National	Romania	RO	Romanian	ro	obiectiv	European Union	General News	Obiectiv	webnews	http://www.obiectiv.info/
National	Latvia	LV	Russian	ru	mixnews	European Union	General News	Mixnews	webnews	https://mixnews.lv/
National	USA	US	English	en	comunicarseweb	North America	General News	comunicarseweb	webnews	https://www.comunicarseweb.com/
International	USA	US	English	en	christiantoday	North America	General News	Chatham Daily News	webnews	http://www.christiantoday.com/
National	France	FR	French	fr	RTLFrance	European Union	General News	Radio Télévision Luxembourg (France)	TVRadio	https://www.rtl.fr/
